A4,A5
5,"Develop my ability to learn, global perspective"
2,Learn new skills and make new friends.
5,Get a degree and find myself spiritually. And also maybe find a potential future wife.
4,Get my degree
4,To learn more on QA module
5,"To learn as much knowledge and skills about engineering, especially infocomm"
3,To get the habit to study systemically and persistently in certain area; To know how to get on well with people; To start to plan for my career.
4,to live a knowledgeable life
5,To get a job through the network that NTU has established.    To get a degree that is enjoyable to study.
3,To have a platform to start a great career in science
3,To obtain a respected and quality degree  To be prepared for the corporate workforce
4,1. Graduate with good results  2. Find a good job   3. Make lasting friendships   4. Enrich myself
4,Graduate with a Degree
1,Graduate and build a good career
3,1. Make Friends  2. Inspired by lecturers and mentors  3. Obtain degree certification
5,To graduate from NTU
4,achieve my degree and learn knowledge...
5,"NTU is my favorite school, I like it. I hope NTU can provide my sports"
3,get better pay
4,building my acdemic knowledge to fullfill my carrer
4,Graduate with a degree on time with the gain of up to date knowledge
4,Build a strong foundation in my specific discipline.
4,To achieve bachelor
4,"Get the degree, learn new thing."
4,Achieve my degrre
4,Continual education
3,Good grades. Learn skills.
5,Exposure to the great education
5,To be able to become better person with professional skills
5,Learn programming and grow to be able to apply what I learnt outside of school.
5,1. Attain a degree.  2. Experience the life of a university student.  3. Take up modules from different disciplines.
4,Get a degree that is highly relevant to industry requirements
3,To be an engineering graduate.
4,Learn and gain more skills and knowledge
4,get a degree
4,Obtain a degree.  Build up networks
4,"Graduate with a degree, Learn leadership as well as planning skills, Network"
4,Gain knowledge and skills to develop my career goal
3,Set up my own business using the skills taught in school.
4,get my degree
4,Learn practical skills taught to me through academic coursework that I can apply to my career/ personal life in future.   Graduate and find a job in the field that I want.
5,Get a quality education and think critically through issues in our world and society and everyday life before I get immersed in it myself
4,Get a relevant degree.
4,Learning more and pursuing an education for the sake of learning rather than GPA
4,To obtain a degree and to make new friends
3,I want to be ready for the workforce in the career which I would like to pursue in.  I want to experience life of a university student locally as well as abroad.
4,To get a all- rounded education
4,Having a deeper understanding of topics of interest
2,build up self-awareness and career path.
4,To graduate with a bachelor degree
4,A well-recognized degree and an industry-leading education.
4,Holistic international academic experience
4,"Get a degree, find a good job, have a fulfilling campus life."
4,Have a better understanding about my degree and the work that it entails.   Find out what type of work I would like to pursue in the future.
3,Get a degree.
4,"Get a good degree, explore my interests, gain more international exposure"
5,Learn how to react in the right way to different situations.  Learn how to deal with people.  Learn more about how the real world works.  Make good friends that I will keep for life.  To graduate.
5,"Solid academic training, hall experience"
5,Building a social network of friends.  Securing a job with a company of my choice.  Fulfilling undergraduate experience.
4,Getting the job I want
4,Graduate with first class honors and be prepared for further graduate studies and also be able to find a job
4,Achieve high level of proficiency in my degree  Have the necessary knowledge and skillsets to perform jobs that are relevant to my degree  Develop leadership skills and build a network of friends from school
4,Obtain a degree and obtain perspectives of the world
3,Get a good learning experience  Graduate with a good job  Build meaningful lasting relationships
5,Learning and growing.
5,To get a well-recognised degree.
4,Holistic education. Fun hall life
4,Make really good friends   Hall life   Find a decent job
2,Obtain a degree and a job straight after graduation. Value added learning as well
4,Grow as a person  Study and learn the basic skillset required to perform my duties in the workplace  Network and gain industry connections
4,"Develop critical thinking skills and analytical abilities  Hone my communication skills  Learn hard skills e.g. accounting, finance  Get overseas exposure   Make friends"
4,Secure a job   Learn beyond my degree
4,Holistic education.  Overseas exposure.  Industry exposure in terms of internships and business trips.
4,be more prepared for career  expand network  gain professional knowledge   make friends
4,Attain my degree  Meet new friends  Garner professional knowledge needed for my career
4,meeting friends while gaining valuable experiences and knowledge.
5,Have opportunities to be employed by a reputable company.
5,Acquire a robust education  Provide experience for the working world
5,Learn about the field of business (accounting and finance in particular) and to figure out a suitable career path for myself.
4,Critical thinking learnt through lessons
4,Attaining knowledge and soft skills that will prepare me for the working world.
4,Get a degree
4,get good degree
4,Active participation in extra curricular activities   Maximised potential in academics  High hiring prospects  Meet people from different walks of life
4,To obtain a useful degree that prepares me for the working environment and allows me to contribute to the society in the future. To develop life skills such as communication skills and leadership as well as to gain build meaningful connections and relationships.
4,Complete my degree and go on exchange
5,Complete my undergraduate program. Know more people.
4,to stand out in the competitive job market as well as to acquire requisite skills to embark on a successful career in my chosen path
2,Discover my full potential  To achieve self-confidence  To realise what I want to achieve in life
4,"get a good degree and hopefully increase employment prospects. at the same time, learn all the necessary knowledge for my professional career in the future"
5,"Prepare for the workplace, become more confident"
4,Get a degree
5,"Career opportunities, expand knowledge base, and get a degree"
4,To learn while having a balanced school life and making friends I can count on
4,Get a degree
3,To be able to gain real applicable knowledge. However I felt everything I have learnt was too 'textbook'.    I specialised in Marketing at NBS. But felt I may have been better off going to WKW and choosing modules related to marketing and advertisements there. They seemed more real world.
4,To widen my network and knowledge
4,High quality of education relevant to the industry that I will be involved in
4,Get a recognized degree
2,To graduate
4,get a degree
4,Gain a holistic undergraduate experience.  Develop my leadership and interpersonal skills.
3,Get a degree
5,"Understand the concepts and models of doing business, while expanding my networks and experiencing the university culture in Singapore."
5,to have an in-depth understanding of business and find out what I'm good at  to network and make friends for life  to be exposed to a highly intellectual environment that encourages training in analytical thinking
4,"Learning, enriching myself and meeting new friends"
2,get a degree
3,get a degree
5,Vibrant student life and receive high quality education/teaching
4,meet my soul mate
4,"to become a more comprehensive person, not only to gain knowledge in academic area, but also the chance expose to the other countries in exchange programme, and also the various experiences acquired when organizing an event."
3,having a fulfilling university experience and prepare myself with the necessary skills to solve world engineering problems
4,To finish my degree and secure a good job. Enjoy university life.
5,"To obtain a good, widely accepted degree and obtain the skills that will prepare me for the work life."
3,Learning practical skill in engineering
5,valuable certificate and fulfilling uni life
4,to get my presentable degree certificate after a fantastic university life.
5,Learning and exposure
5,To learn and to know more people
5,Gaining a deep knowledge on computer & programming related stuffs
4,"Get my degree to get into a good job. Make friends, and further myself in life."
2,"Inspiration to pursue my dream; motivation to make a positive impact, knowledge and opportunity to make change, in-depth knowledge"
4,Get a degree.  Get a job.  Get paid.
4,"Pick up theoretical knowledge and hopefully apply it to the real working world when I graduate (although most of the times, people still say that whatever is learnt in school is not applicable to a large extent)"
4,Have a comprehensive knowledge that would allow me to achieve my job  Have a fulfilling exchange experience   Able to have internship that would get me ready for the real world
4,"To develop not only my academic skills but also organizational, leadership, and social skills."
4,Study Computer Science.
4,To gain the knowledge to embark on a career
4,To get a degree and experience an international campus environment
4,Accquire skills for my career in the future
5,Learn as much as possible and create strong personality
2,To gain both technical and social skills which in turn I can use to realize my dream in creating a sustainable and clean power system company in my home country.
3,To be an aerospace engineer with professional knowledge like students in top uni in US.
4,To become engineer and exposed to the international study experiences.
3,"Gain academic knowledge, skills and interpersonal skills so that I can find a job and start to build a sustainable career in the future."
4,To get degree from NTU
5,To enhance my creative thoughts and to be able to get recommended a good job.
4,Get a degree and all the relevant knowledge
4,To pursue my tertiary education in a prestigious university and obtain the first class knowledge
4,Study and have fun at the same time
5,To get a degree
5,Experience the campus life in Singapore.
4,Further my study
4,"To gain knowledge, experience and contacts so that i am fully prepared for life after school."
4,undergranduate courses    Learning of Engineering    Learning of society between people
5,Able to expose to culture of different countries and learn more soft skills.
3,Academic Satisfaction
4,Is to expose to various culture range from hip hop to ethnic
5,To get a qualified degree and gain my own knowledge.
5,Finish my studies and seek for softskills got career purposes
4,"Is there have any possibility to lean the subject via internet instead of attend class, especially for part time student."
4,get a bachelor degree.
4,Get good grades
4,Finding my life partner
5,Character development and enrich my self with lots of fun filled activities.
4,Gain a reputable degree and a fun university life
1,to immerse myself in a diverse and vibrant student life and being able to secure a job after graduation
5,academic achievement
5,I want to gain enough technical knowledge and skills as well as global exposure.
4,CCA  GPA
4,proper education I got
5,Learn technical skills and prepare me for contributing to this society.
4,Provide learning environment that satisfies my curiosity on area I'm interested in
4,Experience different lifestyle.
4,useful knowledge and nice study environment
4,Get a recognised bachelor degree to find to good job
3,Achieve at least second upper honor degree  Find a job in year 4
5,Get skills and find a good job.
4,Find a job
4,"gain academic knowledge and experience, improve ability"
5,learn practical technical skills
4,more student friendly environment for exploring the various opportunities in academic and industrial.
5,enrich myself with technical and soft skills
4,Academic achivement and reasearch opportunities
4,Find a job
